Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1 uF","C_0603_1608Metric",117.119400,-70.320800,-90.000000,top
"C2","22uF","C_0603_1608Metric",115.112800,-54.089000,-90.000000,top
"C3","10uF","C_0603_1608Metric",118.694200,-70.295400,-90.000000,top
"C4","10uF","C_0603_1608Metric",120.726200,-64.097200,90.000000,top
"C5","10uf","C_0603_1608Metric",110.159800,-54.114400,-90.000000,top
"C6","0.1 uF","C_0603_1608Metric",116.662200,-54.089000,-90.000000,top
"D1","25%_LED","LED_0805_2012Metric",104.269300,-57.810400,0.000000,top
"D2","CHRG_LED","LED_0805_2012Metric",104.091500,-54.584600,0.000000,top
"D3","75%_LED","LED_0805_2012Metric",104.269300,-61.163200,0.000000,top
"H1","Mount","MountingHole_2.2mm_M2_Pad",126.796800,-76.022200,0.000000,top
"H2","Mount","MountingHole_2.2mm_M2_Pad",99.949000,-49.072800,0.000000,top
"H3","Mount","MountingHole_2.2mm_M2_Pad",100.011000,-76.022000,0.000000,top
"H4","Mount","MountingHole_2.2mm_M2_Pad",127.138200,-49.072800,0.000000,top
"INPUT","USB_C_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",113.741200,-77.420400,0.000000,top
"J2","BATT_CONN","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",127.355600,-64.839600,90.000000,top
"J3","5V_OUT","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",127.471000,-57.438800,90.000000,top
"L1","1uH","L_Taiyo-Yuden_NR-60xx",120.650000,-59.093600,-90.000000,top
"R1","5.1k","R_0603_1608Metric",112.268000,-70.320600,90.000000,top
"R2","5.1k","R_0603_1608Metric",115.443000,-70.320600,90.000000,top
"R3","1k","R_0603_1608Metric",107.734600,-57.785000,180.000000,top
"R4","1k","R_0603_1608Metric",107.480600,-54.635400,180.000000,top
"R5","1k","R_0603_1608Metric",107.721400,-60.985400,180.000000,top
"SW1","ACTV_BTN","SW_SPST_EVQP2_ShortPushTravel_H2.1mm",106.158800,-68.275200,90.000000,top
"U1","IP5306","SOP127P600X165-9N",113.143600,-58.369200,0.000000,top
